country,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01,2022-02-01,2022-03-01,2022-04-01,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01,2023-01-01,2023-02-01,2023-03-01
Greece,0,4,1208,1364,339,475,1011,5733,7989,19073,67031,33691,18555,33358,70246,82831,58393,20528,68723,93106,69877,85913,191735,239110,764714,484409,603932,430305,143414,246392,511565,407803,157591,268472,216062,183440,223313,85083
Greenland,0,0,10,1,2,0,1,0,0,3,1,9,3,0,1,0,9,10,68,215,240,226,583,1119,8161,1063,246,0,0,0,0,0,0,0,0,0,0,0
Grenada,0,0,9,10,4,0,1,0,0,4,13,87,20,0,7,6,0,1,6,189,4682,800,49,185,6238,1368,319,631,3033,608,516,503,247,55,40,40,9,0
Guadeloupe,0,0,106,45,11,20,62,901,3809,2788,602,276,536,812,1544,2258,3104,665,1867,25987,7713,1368,606,715,56873,11860,11453,13974,10408,8351,17666,6384,2450,1056,2048,2215,1171,182
Guam,0,0,58,83,25,81,101,991,1104,2136,2112,438,250,147,69,146,177,174,179,1689,2816,1890,457,229,10265,11683,2493,764,710,2223,2691,2142,568,236,450,425,674,177
Guatemala,0,0,36,521,4050,12323,31896,25086,17056,16371,14632,15195,21952,15217,19499,32413,27978,38449,69460,103665,91445,44158,16208,9065,61651,87936,49799,18928,15109,41202,136451,60576,24190,17865,13829,47440,25373,8946
Guernsey,0,0,55,196,1,0,0,0,5,10,19,12,195,328,0,1,1,14,111,334,315,537,1798,3870,3391,2535,8529,2316,1051,1477,2823,843,542,1015,576,1217,598,214
Guinea,0,0,16,1335,2355,1645,1891,2129,1263,1438,1025,625,810,1460,3916,2307,962,610,2014,3740,879,233,117,1678,3565,384,105,47,268,456,156,223,298,172,69,33,43,13
Guinea-Bissau,0,0,8,193,1055,398,327,168,213,51,9,30,183,627,388,84,32,93,620,1320,308,27,306,44,1102,415,148,53,67,100,71,356,35,17,93,6,6,7
Guyana,0,0,8,67,75,80,168,786,1603,1311,1240,963,1227,985,1669,2781,3859,3069,2481,2951,6036,4085,2329,1465,20212,3441,348,218,1160,2604,2524,1237,349,105,148,502,836,144
