country,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01,2020-07-01,2020-08-01,2020-09-01,2020-10-01,2020-11-01,2020-12-01,2021-01-01,2021-02-01,2021-03-01,2021-04-01,2021-05-01,2021-06-01,2021-07-01,2021-08-01,2021-09-01,2021-10-01,2021-11-01,2021-12-01,2022-01-01,2022-02-01,2022-03-01,2022-04-01,2022-05-01,2022-06-01,2022-07-01,2022-08-01,2022-09-01,2022-10-01,2022-11-01,2022-12-01,2023-01-01,2023-02-01,2023-03-01
Bulgaria,0,0,359,1088,1066,2318,6589,4770,4357,30494,91445,58734,17398,28088,91720,65302,14546,3477,3121,28817,46423,100923,91341,51922,197516,146706,49260,18686,8519,6782,34921,35445,16537,19566,8799,4998,3333,1407
Burkina Faso,0,0,261,384,210,107,181,227,686,444,386,3821,3975,1342,724,562,124,47,99,197,485,639,1099,1632,3017,102,107,27,14,145,84,0,503,0,0,392,24,9
Burundi,0,0,0,15,48,107,217,58,63,77,103,130,817,582,625,1176,785,679,1890,5338,5561,1816,328,10135,6882,695,392,1630,1935,647,3420,3136,906,277,548,1144,1330,160
Cabo Verde,0,0,5,108,308,744,1254,1433,2048,2794,2053,1046,2188,1343,1955,6275,6805,2098,1306,1520,2252,672,160,2371,14939,209,66,70,302,4218,1617,161,54,23,640,163,29,15
Cambodia,1,0,106,15,3,16,93,40,3,14,32,43,99,340,1635,10962,16692,19161,27330,16031,19057,6754,1685,375,812,8621,5665,666,11,10,481,843,274,118,94,496,113,24
Cameroon,0,0,137,1671,4096,7626,3725,2154,1466,918,2694,2361,3465,5401,18206,20813,4196,1929,1206,2146,11189,8949,2800,2518,8010,1564,485,165,112,195,327,2465,796,208,0,0,316,296
Canada,3,10,6242,43760,39392,13832,12153,12281,27628,73241,137018,199944,205289,90754,110172,231016,174256,37143,15442,63945,122338,96269,75682,314660,929074,251667,187641,270399,127064,55875,132298,102318,75091,102796,71454,84336,58074,40817
Cayman Islands,0,0,12,61,68,55,7,2,6,29,34,52,64,48,61,43,39,33,28,38,140,830,5088,2080,4970,5585,1233,1617,2254,2694,1938,1105,447,345,353,113,0,0
Central African Republic,0,0,13,51,988,3289,1033,153,155,28,49,59,46,34,418,3272,1338,133,110,138,84,201,150,712,1656,210,31,7,13,315,95,103,72,335,37,32,7,0
Chad,0,0,7,45,726,88,69,77,181,290,199,395,1270,626,550,287,119,22,22,18,46,30,38,596,1454,91,62,103,6,8,7,104,45,46,19,4,2,26
Chile,0,1,2448,12686,79723,181141,77537,56438,51326,47271,41859,55520,116950,98518,168074,201499,186516,176267,60855,23701,15076,39471,68488,43317,333061,903657,423025,91908,142334,281130,253752,269125,117703,135829,158928,117218,85600,46970
China,9720,69669,3156,1828,197,657,2729,2427,658,852,1572,3208,4204,1001,856,861,7551,7357,2132,2408,1586,1350,1835,3966,7212,162162,603644,170055,1863681,1790886,886700,785354,1217002,1328999,719199,75258368,13569997,535089
Colombia,0,0,702,5247,20739,65081,184286,323859,218289,234919,246491,315209,462811,167159,144987,434847,538435,824133,579635,138429,49118,44672,66325,73230,717255,204935,23447,7927,11288,47899,114444,33797,6957,3164,5053,30346,11194,3155
Comoros,0,0,0,0,62,161,89,41,56,66,66,154,1953,853,195,138,47,55,92,37,76,118,242,2014,1317,202,53,20,19,35,168,126,18,364,131,17,8,14
Congo,0,0,19,201,384,725,2058,1241,475,187,484,657,1629,760,861,1335,829,850,521,414,729,3311,1346,2261,2428,253,51,32,87,293,369,61,65,130,15,2,7,17
Cook Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1873,3107,667,117,268,223,124,0,0,321,304,14
Costa Rica,0,0,314,391,317,2108,13670,22899,34015,33856,30678,28551,26477,11065,11927,29333,70839,47864,40902,54485,68386,31621,7147,4115,117541,116126,32459,14988,38964,80722,72625,44331,29273,17724,10422,20707,19334,17988
C™te dÕIvoire,0,0,199,1039,1561,6415,6764,2086,1605,1023,662,896,5928,4453,10911,2456,1197,1047,1762,5514,4620,1154,420,6434,12549,772,255,208,264,1115,1997,1389,513,565,112,56,41,203
Croatia,0,5,785,1272,184,479,2346,5052,6257,30167,80065,81834,23644,10527,26392,61167,25965,3595,3661,9933,29750,63949,137318,105331,226044,118874,42813,24253,14791,10927,38419,26748,19028,15345,6386,10211,4007,1468
Cuba,0,0,170,1297,558,315,257,1376,1558,1270,1432,3454,13987,23487,25051,31449,35505,46857,187698,270792,225912,78900,11025,3221,74271,29545,20065,13298,2540,699,1996,2512,682,105,100,588,457,164
Curaao,0,0,11,5,4,4,5,26,309,580,1102,2133,395,134,3032,4423,108,61,1161,1755,1180,625,344,2802,16523,2145,1479,1689,1587,923,518,239,66,99,119,134,53,13
Cyprus,0,0,230,613,100,53,88,403,256,2474,6166,11964,8881,3708,11170,20097,7281,3069,26374,12384,4833,4189,9527,27919,88808,68476,107152,54005,9743,14754,58194,13367,11716,11124,15119,16874,11552,6430
Czechia,0,0,3026,4599,1694,2599,4532,8057,43536,256649,197376,201508,270096,254108,301979,100433,31398,5981,6318,5731,12708,73218,397471,334350,613963,662052,282085,106701,17976,15921,70243,79629,93243,75316,23839,21753,9461,20309
Democratic People's Republic of Korea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Democratic Republic of the Congo,0,0,98,402,2548,3990,2031,1027,562,671,1442,4886,5113,3142,2229,1711,1798,9430,8836,5263,1842,560,841,20851,6255,626,663,480,1955,2205,973,291,187,310,1233,721,412,195
Denmark,0,1,2576,6431,2625,1118,974,3166,10573,17761,34127,81878,36865,12637,21670,20652,29829,12954,22731,28782,13519,27882,97002,297949,929783,1034775,306582,60879,20463,33416,61385,41460,25848,35691,18622,35833,11137,3649
Djibouti,0,0,31,1046,2117,1462,425,304,31,143,118,147,107,134,1725,3236,502,74,49,96,958,773,26,128,1819,96,38,46,49,10,0,0,0,0,0,0,0,0
Dominica,0,0,11,5,0,2,0,2,10,12,43,11,21,25,19,13,14,5,17,1428,1655,1490,993,1038,2218,2076,731,322,2134,557,0,0,895,13,0,0,0,0
Dominican Republic,0,0,901,5751,10256,14908,36099,26320,17665,14432,17141,26106,42974,26456,13375,13830,25696,32454,17146,8507,7965,22992,26139,10155,136784,20240,3728,1359,4343,22062,22941,9991,7366,1494,2805,8628,1239,523
Ecuador,0,0,1962,22713,14168,16822,28705,29278,22101,31398,24970,19395,38267,32820,44726,53364,45152,31648,29055,14657,8037,7693,9869,19000,180136,105876,28078,9234,8009,29607,56928,31443,8968,3956,10144,26570,10275,2097
Egypt,0,5,651,4612,18181,43305,27003,4970,4352,4306,8156,21103,28774,16411,19603,25099,35135,19365,3184,3947,15621,26301,27545,27099,38960,58560,23016,8204,476,144,571,649,63,35,47,61,95,89
El Salvador,0,0,30,347,2018,3778,10057,9405,3346,4464,4960,7555,8029,5877,4565,4767,4048,5520,7854,7440,10288,9074,6381,1938,12414,13631,13266,1037,666,6891,21172,10967,0,0,0,0,0,0
Equatorial Guinea,0,0,14,364,1350,1811,1282,120,87,60,68,121,257,561,819,780,835,205,177,566,2885,1015,215,118,2092,82,19,4,14,113,707,118,60,157,10,3,24,17
Eritrea,0,0,15,24,0,152,88,39,57,88,114,675,883,712,432,392,390,1875,609,97,67,122,510,641,1543,175,28,6,25,37,236,122,15,19,1,0,0,0
Estonia,0,1,725,959,182,129,74,310,998,1527,7407,15697,16258,21405,40887,15908,7236,1552,2488,8420,14395,37719,28640,18885,96872,157584,62168,16141,5030,3843,7464,7138,4678,4456,2210,2898,1621,1221
Eswatini,0,0,9,82,192,512,1782,1984,901,447,501,2734,6522,1336,331,1125,133,493,6431,17539,2850,509,169,19250,2510,788,593,903,1848,624,181,82,29,168,212,251,112,66
Ethiopia,0,0,23,107,933,4783,10769,34507,23462,21205,13745,14322,13165,21037,46463,51897,14927,4692,3987,26786,37512,20638,6386,44097,49487,3744,1030,846,1897,15986,3761,986,383,377,591,3443,1519,481
Falkland Islands (Malvinas),0,0,0,13,0,0,0,0,0,0,4,12,11,11,0,9,0,0,0,4,3,2,10,3,7,21,13,58,1521,113,24,47,37,0,0,0,0,0
Faroe Islands,0,0,168,19,0,0,38,189,52,31,8,103,49,4,3,2,55,57,207,18,161,922,1472,2211,13339,15139,411,0,0,0,0,0,0,0,0,0,0,0
Fiji,0,0,5,13,0,0,9,1,4,2,4,11,6,4,8,49,285,3743,24516,17551,4742,1188,365,826,9063,1432,577,230,373,548,1994,604,92,19,111,375,70,69
Finland,1,4,1538,3685,1736,280,216,725,1922,6120,9004,10940,9380,12400,19778,9462,5707,3107,11002,20461,14220,17693,27684,76791,241852,179523,226004,134448,59210,48346,66908,49725,34477,56658,51785,41108,6387,2444
France,6,51,43920,83089,21170,11138,20620,111684,295067,925313,673758,379156,549570,480930,836770,770378,363594,95959,309323,583962,238638,143146,456897,2088443,9069358,3477408,2667625,3073891,832085,1422860,2819597,647780,808989,1460242,938034,1499362,215485,97935
French Guiana,0,0,43,82,311,3338,3954,1348,853,496,754,1866,3038,544,295,2342,4499,3652,2749,4611,6070,3784,1355,2415,26843,2410,1027,2180,2093,3959,5664,1011,388,285,1192,2428,149,13
French Polynesia,0,0,36,22,2,2,0,465,1201,5534,6834,2755,1209,327,235,133,105,143,1045,20130,5003,360,773,111,1841,18433,5619,402,211,337,2172,1019,244,55,379,820,0,86
Gabon,0,0,16,261,2378,2739,1958,1153,247,205,234,380,1177,3816,4576,3428,1797,619,400,504,4267,5370,1817,4456,4924,821,43,16,48,289,572,144,58,232,28,7,1,0
Gambia,0,0,4,7,14,24,435,2545,550,93,70,58,290,622,747,442,94,84,1883,1753,220,32,26,177,1693,76,49,7,10,4,140,243,50,138,6,0,7,5
Georgia,0,3,112,424,244,145,240,319,4705,32744,96648,91836,30691,12647,11003,28549,33653,22115,53456,130277,63201,106235,126396,89098,241182,429549,42774,6852,2056,3275,27789,53464,49869,10807,4560,2909,6666,11622
Germany,6,106,67910,92796,21068,12651,14746,34236,47751,241372,529616,672191,482619,224883,373559,567352,294986,48309,43099,178352,284192,377349,1255870,1300033,2792795,4888678,6459625,3597256,1456921,1897446,2662326,1254254,1179930,2263453,867797,900232,381298,390174
Ghana,0,0,152,1519,6097,10366,18880,7603,2151,1432,3693,3171,12718,16567,6325,2009,1328,2056,6952,17433,7426,2513,804,14924,11101,2808,943,235,275,5065,1581,453,989,1138,311,30,79,45
Gibraltar,0,0,61,72,20,16,9,89,107,306,321,784,2303,140,37,18,10,53,576,420,199,433,1229,1330,4315,2465,1541,1032,541,879,596,147,43,29,72,112,94,24
