country,continent,total_vaccinations,total_vaccinations_per_people,population
Democratic Republic of the Congo,Africa,14196698,0.16,89563422
Denmark,Europe,15102608,2.59,5822131
Djibouti,Africa,389246,0.39,988009
Dominica,Americas,67647,0.94,71991
Dominican Republic,Americas,15931705,1.47,10847931
Ecuador,Americas,39495110,2.24,17643088
Egypt,Africa,108156977,1.06,102334163
El Salvador,Americas,11379601,1.75,6486210
Equatorial Guinea,Africa,488738,0.35,1402968
Estonia,Africa,2196128,1.65,1329375
Eswatini,Africa,841545,0.73,1160160
Ethiopia,Africa,53514115,0.47,114962975
Falkland Islands (Malvinas),Americas,9390,2.70,3483
Faroe Islands,Europe,103894,2.13,48865
Fiji,Oceania,1553053,1.73,896444
Finland,Europe,13249324,2.40,5525156
France,Europe,157891260,2.35,67331028
French Guiana,Americas,241473,0.81,298683
French Polynesia,Oceania,450069,1.60,280909
Gabon,Africa,572672,0.26,2225698
Gambia,Africa,1444492,0.60,2416670
Georgia,Africa,2736283,0.69,3988751
Germany,Europe,193166879,2.32,83154059
Ghana,Africa,22384226,0.72,31072803
Gibraltar,Europe,132810,3.94,33691
Greece,Europe,21979563,2.05,10716510
Greenland,Americas,79738,1.40,56772
Grenada,Americas,90686,0.81,112523
Guadeloupe,Americas,398931,1.00,400123
Guam,Oceania,368088,2.18,168775
Guatemala,Americas,20257676,1.13,17915573
Guernsey,Europe,178525,2.77,64468
Guinea,Africa,10642438,0.81,13132813
Guinea-Bissau,Africa,594450,0.30,1967986
Guyana,Americas,960133,1.22,786549
Haiti,Americas,515718,0.05,11402122
Honduras,Americas,16593952,1.68,9904590
Hungary,Europe,16568528,1.70,9769179
Iceland,Europe,868802,2.39,364125
India,Asia,2206521180,1.60,1380007242
Indonesia,Asia,444303130,1.62,273523354
Iran (Islamic Republic of),Asia,157785811,1.88,83992958
Iraq,Asia,19557364,0.49,40222454
Ireland,Europe,12358591,2.49,4965284
Isle of Man,Europe,189994,2.23,85032
Israel,Asia,15026951,1.74,8656078
Italy,Europe,150260818,2.52,59650980
Jamaica,Americas,1518792,0.51,2961185
Japan,Asia,381845653,3.02,126476650
Jersey,Europe,266953,2.48,107796
Jordan,Asia,10057975,0.99,10203166
Kazakhstan,Asia,33691195,1.79,18779930
Kenya,Africa,23359310,0.43,53771258
Kiribati,Oceania,219980,1.84,119449
Kosovo,Europe,1836901,1.02,1795602
Kuwait,Asia,8259149,1.93,4270567
Kyrgyzstan,Asia,3090060,0.47,6519114
Lao People's Democratic Republic,Asia,15053397,2.07,7275547
Latvia,Europe,2977413,1.56,1907375
Lebanon,Asia,5814699,0.85,6825405
Lesotho,Africa,1339097,0.63,2142247
Liberia,Africa,4460668,0.88,5057676
Libya,Africa,3739158,0.54,6871305
Liechtenstein,Europe,71104,1.84,38749
Lithuania,Europe,4531267,1.62,2793629
Luxembourg,Europe,1337471,2.14,626157
Madagascar,Africa,2752435,0.10,27690493
Malawi,Africa,7405348,0.39,19129829
Malaysia,Asia,72587367,2.24,32366062
Maldives,Asia,951578,1.76,540543
Mali,Africa,5369445,0.27,20250594
Malta,Europe,1280049,2.49,514489
Marshall Islands,Oceania,85198,1.44,59194
Martinique,Americas,401142,1.07,375264
Mauritania,Africa,4068530,0.88,4649642
Mauritius,Africa,2614332,2.06,1271766
Mexico,Americas,223158993,1.73,128932525
Micronesia (Federated States of),Oceania,170346,1.48,115023
Monaco,Europe,71027,1.81,39241
Mongolia,Asia,5668035,1.73,3278292
Montenegro,Europe,523735,0.83,627980
Montserrat,Americas,4619,0.92,4999
Morocco,Africa,55385580,1.50,36910678
Mozambique,Africa,29457535,0.94,31255342
Myanmar,Asia,64549994,1.19,54409665
Namibia,Africa,985164,0.39,2540916
Nauru,Oceania,31128,2.87,10834
Nepal,Asia,61174872,2.10,29136858
Netherlands,Europe,36105753,2.07,17408753
New Caledonia,Oceania,478127,1.67,285498
New Zealand,Oceania,11990426,2.49,4822230
Nicaragua,Americas,15250610,2.30,6624565
Niger,Africa,7339299,0.30,24206930
Nigeria,Africa,116606863,0.57,206139380
Niue,Oceania,4920,3.04,1618
North Macedonia,Europe,1862732,0.89,2083593
Northern Mariana Islands (Commonwealth of the),Oceania,116159,2.02,57557
Norway,Europe,12318248,2.30,5367428
occupied Palestinian territory,Asia,3748571,0.73,5101415
Oman,Asia,7086050,1.39,5106621
Pakistan,Asia,334609866,1.51,220892301
Palau,Oceania,53177,2.94,18092
Panama,Americas,8778943,2.03,4314761
Papua New Guinea,Oceania,518619,0.06,8946334
Paraguay,Americas,9610340,1.35,7132560
Peru,Americas,88065479,2.67,32971841
Philippines,Asia,170638379,1.56,109580963
Pitcairn Islands,Oceania,138,2.76,50
Poland,Europe,58085517,1.53,37964390
Portugal,Europe,27741176,2.69,10297393
